snr_db,realization,noise_sigma,eta_dc,eta_total,eta_ac,eps_l2_vs_clean,eps_l2_ac_vs_clean,rmse_vs_clean,eps_parseval
30.0,0,2.107314677006971,0.9321363285697011,0.9915964536012222,0.8761701773325233,0.09089245186716634,0.34813001916531366,23.199157276241838,4.127088094713725e-16
30.0,1,2.107314677006971,0.9317919997537829,0.9918870934460213,0.881056378655102,0.09097988040089927,0.34843841702976175,23.221472311900307,2.7556144176563417e-16
30.0,2,2.107314677006971,0.9314376080067116,0.9913440805520245,0.8737512038841552,0.09096986805592834,0.3482392944473944,23.218916786541346,5.530296158373371e-16
30.0,3,2.107314677006971,0.9316004194123503,0.9919223189158954,0.8819045231753522,0.09108715087539128,0.3488579767519538,23.24885175384202,0.0
30.0,4,2.107314677006971,0.9316664014028455,0.9913516526615244,0.8734393107340952,0.09101729068050302,0.3485858158951783,23.231020816120918,1.3713586920058921e-16
30.0,5,2.107314677006971,0.9315592568809118,0.9914211337556077,0.8746526432440267,0.09095934170977106,0.3483734667809615,23.21623006883233,1.3765106828499552e-16
30.0,6,2.107314677006971,0.9311565745409212,0.9918695345243662,0.8818991730667634,0.0910327987903854,0.3486628632436176,23.23497906647975,5.488463106012448e-16
30.0,7,2.107314677006971,0.9314132450114153,0.9914589849325811,0.8754713636934647,0.09093343840536189,0.3482229369166433,23.209618575571696,4.106977049194132e-16
30.0,8,2.107314677006971,0.9323503116216909,0.9917744797855691,0.8784100797562813,0.09109201850364332,0.34888754057407545,23.2500941548452,1.3771185505769118e-16
30.0,9,2.107314677006971,0.9319800292876096,0.9916902000684982,0.877832938702102,0.09103145080995917,0.34861801309120705,23.234635011398492,2.7412865705413905e-16
30.0,10,2.107314677006971,0.9318635198001768,0.9917495088089516,0.8789122777276958,0.09094506517036562,0.34819986033065525,23.212586161376617,2.735053525017092e-16
30.0,11,2.107314677006971,0.9310844497186117,0.9912866878534038,0.8735653693394448,0.09094477699138072,0.34830141956911037,23.21251260730852,1.3701048161207243e-16
30.0,12,2.107314677006971,0.9313990252941827,0.9923949617693939,0.8891409595385639,0.09091846277292433,0.34818742799597274,23.205796233395937,0.0
30.0,13,2.107314677006971,0.9296465577070253,0.9918005625530057,0.8834536423555621,0.09109958095854163,0.34890533816623054,23.25202437651902,0.0
30.0,14,2.107314677006971,0.9315383105713608,0.9914444024821821,0.8750308736284427,0.09095834044273987,0.348296508331407,23.215974507992517,2.759946778572994e-16
30.0,15,2.107314677006971,0.9311401583274245,0.9912950460467322,0.8735844616858172,0.09091177629663633,0.34818585267142454,23.204089594265376,2.752614759200546e-16
30.0,16,2.107314677006971,0.9307507335722701,0.9910378625047447,0.8705814811105836,0.09094211866505465,0.3482919591391887,23.211834102886385,6.881866416368174e-16
30.0,17,2.107314677006971,0.9319618795019365,0.9918318935000954,0.8799480873352884,0.0909482727889014,0.3483439274758017,23.213404865739466,1.3754061589676478e-16
30.0,18,2.107314677006971,0.9303715212628403,0.9918464403904469,0.8828990700725808,0.09097067154915058,0.3482746333868916,23.219121868099275,1.3802224214891678e-16
30.0,19,2.107314677006971,0.9317750683405364,0.9917519365593215,0.8791048486226747,0.09113651726250675,0.3488146696827531,23.26145190440816,0.0
30.0,20,2.107314677006971,0.9312373174843186,0.9917678445089194,0.8802816412928143,0.09111826398438716,0.34899598827234335,23.256792984319592,6.868570909294774e-16
30.0,21,2.107314677006971,0.9327356778931054,0.9920633577766257,0.8820081437710541,0.09098012739434094,0.34846116640649066,23.22153535387554,1.37444855960281e-16
30.0,22,2.107314677006971,0.930794043511404,0.9917693166851009,0.8810697267618096,0.09104516469387534,0.3487084802774985,23.238135308104145,1.3713714445643393e-16
30.0,23,2.107314677006971,0.9322113762469482,0.9911260691808076,0.8690940997486647,0.09095344192481948,0.3483396420086421,23.21472422278928,1.372059845410797e-16
30.0,24,2.107314677006971,0.9317836834081078,0.9917920810288341,0.8796780685144561,0.09098715249294051,0.3484720603380482,23.223328422100064,1.377431232204528e-16
30.0,25,2.107314677006971,0.9302459107094757,0.9915187524613458,0.8784121816381242,0.09099808778617305,0.348529831888764,23.226119518416123,2.741526939460954e-16
30.0,26,2.107314677006971,0.9322339362794616,0.9917069760539625,0.8776227584910792,0.09108084929849398,0.348826759471205,23.247243355448916,2.7440749331681278e-16
30.0,27,2.107314677006971,0.9318817062878189,0.9918627659164151,0.8805426025794632,0.09095563636912903,0.348259693978081,23.21528432715026,6.840452092479827e-16
30.0,28,2.107314677006971,0.9314030558542228,0.9919104404711825,0.8820711384515029,0.09096991374505936,0.34839122602003225,23.218928448118454,0.0
30.0,29,2.107314677006971,0.9324994995912218,0.9919485809492797,0.8807206020405542,0.0910050212423462,0.3483622748104094,23.22788919606178,5.467379572097629e-16
30.0,30,2.107314677006971,0.9318057377333615,0.9918409899220931,0.8803563554070699,0.09094821258611387,0.34832007563779716,23.21338949973373,0.0
30.0,31,2.107314677006971,0.9326464348282585,0.9920803935974722,0.882417413505376,0.09104875367182252,0.34860553885833334,23.239051349669168,4.1482708855030973e-16
30.0,32,2.107314677006971,0.9320084208936328,0.9916083481486283,0.8765780709660623,0.09094661189407995,0.34833109016993685,23.212980943187148,1.376558574203847e-16
30.0,33,2.107314677006971,0.9316035445698752,0.9916051026875842,0.8772612226814582,0.0909372005694359,0.3482958208808766,23.210578820721416,4.1179948936634777e-16
30.0,34,2.107314677006971,0.9310985165195474,0.9913662768071281,0.8746946690150528,0.09111109348935072,0.34896814390574155,23.25496280547985,0.0
30.0,35,2.107314677006971,0.9314601939437148,0.9916374544872071,0.8779899449098884,0.09100646805095433,0.3484682261186806,23.22825847579579,4.103649435393769e-16
30.0,36,2.107314677006971,0.9307663367172252,0.9913968925117096,0.8757380863532764,0.09098265934924393,0.34844535129677495,23.222181603578388,1.3695711352771286e-16
30.0,37,2.107314677006971,0.9307140034723608,0.991956005320599,0.883901580657901,0.0910987369390659,0.348915964309004,23.251808951143644,1.3715354953322e-16
30.0,38,2.107314677006971,0.932967375620837,0.9915562971363261,0.8740359199438013,0.09114569090887116,0.3490819408185142,23.263793362476815,2.7580003288914726e-16
30.0,39,2.107314677006971,0.9312831703691379,0.9912869065057531,0.8732029178142762,0.0910527808948533,0.348718191564935,23.24007924779006,1.3705747971126903e-16
30.0,40,2.107314677006971,0.9319383215156541,0.9915596995099216,0.8759904151934853,0.09099283911652574,0.34846984415225823,23.22477986138038,0.0
30.0,41,2.107314677006971,0.9320875303634354,0.9921862285114971,0.8849434937307009,0.09093449607893556,0.34813778113238136,23.20988853347335,2.765447541769816e-16
30.0,42,2.107314677006971,0.9325924235084346,0.9919924592748015,0.8812071113964388,0.09107581832371822,0.34883176474037497,23.245959262296203,0.0
30.0,43,2.107314677006971,0.9314605509105416,0.9916195478179373,0.8777280486873401,0.09098957113876144,0.34847302538442954,23.2239457510822,1.3774628758274813e-16
30.0,44,2.107314677006971,0.9321367335855402,0.9921294939195563,0.88402406049281,0.09103875408729195,0.34866307976442634,23.236499081252415,4.135101150388083e-16
30.0,45,2.107314677006971,0.9320824579349507,0.9918988585866966,0.8807209276574787,0.09089496972130662,0.34811117182034435,23.19979992690203,0.0
30.0,46,2.107314677006971,0.9319232649641589,0.991641730162216,0.8772228157918626,0.09104963595612885,0.34868107168265455,23.23927654166217,1.370267453355277e-16
30.0,47,2.107314677006971,0.9311987355254595,0.9921213407822963,0.8854867090325184,0.09098744825343466,0.34845273443851055,23.223403911253225,4.1331237139060097e-16
30.0,48,2.107314677006971,0.9321049963350675,0.991857743992046,0.8800757704037143,0.09101228171132805,0.3485004672659391,23.229742339621552,0.0
30.0,49,2.107314677006971,0.9315502147897102,0.9913624334377352,0.8738116338023776,0.09096588444927599,0.34840729011390115,23.217900020953486,2.745583986501983e-16
30.0,50,2.107314677006971,0.9323654508381297,0.9913182338143937,0.8716371101280216,0.09138283782624915,0.34987691917564945,23.324322135997722,0.0
30.0,51,2.107314677006971,0.9314150525928943,0.991412855329087,0.8747954909122916,0.09092075892581684,0.34823836065985103,23.20638229759587,6.86660659735262e-16
30.0,52,2.107314677006971,0.9309072367420135,0.991923373011619,0.8831045885627199,0.09118758228283327,0.34851197573454695,23.27448560977679,2.712814294535105e-16
30.0,53,2.107314677006971,0.932621225502931,0.9914164340047189,0.8726072704742605,0.09100823311264826,0.3485230566651986,23.2287089856346,1.3802368920922468e-16
30.0,54,2.107314677006971,0.931013650115661,0.991590848781258,0.8781041288190984,0.09099612737929696,0.3485090265219403,23.22561914917193,2.7522295232928653e-16
30.0,55,2.107314677006971,0.9305018326502986,0.9919758027316427,0.8845408796467793,0.0909852820780842,0.34847633914643195,23.222851022189165,1.3706524375837314e-16
30.0,56,2.107314677006971,0.9324176415564599,0.9923515395610106,0.8868275595120116,0.09092339824412009,0.34818500008202247,23.2070559504588,4.11146627665421e-16
30.0,57,2.107314677006971,0.9307632092759678,0.991827684449551,0.8819657083324025,0.09092393861559106,0.34824254976817903,23.207193873492944,4.12470771096103e-16
30.0,58,2.107314677006971,0.9315208207461831,0.9920894075735489,0.8844817868343481,0.09104812746462917,0.3487113665565981,23.23889151814447,5.506517647939744e-16
30.0,59,2.107314677006971,0.9323379764441683,0.9919924117322679,0.8816531364728614,0.09105635628946569,0.3487161405322318,23.24099182237941,0.0
30.0,60,2.107314677006971,0.93163431151277,0.9919771398940581,0.8826478562058143,0.0910288526074974,0.3485855978003514,23.23397185283793,1.3692091213456893e-16
30.0,61,2.107314677006971,0.9317227378984889,0.9920271033490771,0.883227645551026,0.09100190958479741,0.3485460091885506,23.227094984536173,1.3731515554805497e-16
