id,basis,threshold,achieved,n_coeff,coeff_ratio,eps_l2,rmse,snr_db
S1,ac,0.95,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S1,ac,0.99,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S1,ac,0.995,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S1,ac,0.999,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S2,total,0.5,0.8146378501580623,4,0.15384615384615385,0.4305370481641943,0.30398498409838826,7.319789422140016
S2,total,0.75,0.8146378501580623,4,0.15384615384615385,0.4305370481641943,0.30398498409838826,7.319789422140016
S2,total,0.8,0.8146378501580623,4,0.15384615384615385,0.4305370481641943,0.30398498409838826,7.319789422140016
S2,total,0.9,0.9069461422635408,8,0.3076923076923077,0.30504730409636416,0.21538169660517814,10.312656176011544
S2,total,0.95,0.9591487493054504,14,0.5384615384615384,0.20211692332546002,0.14270667294507372,13.887946426462124
S2,total,0.99,0.9909706300105069,22,0.8461538461538461,0.09502299716117815,0.06709193646444526,20.443425508638757
S2,total,0.995,0.9970326409495549,24,0.9230769230769231,0.05447347107028404,0.038461538461538256,25.276299008713433
S2,total,0.999,1.0,25,0.9615384615384616,2.9547142752994373e-15,2.086205532885145e-15,290.58969019183303
S2,ac,0.5,0.8146378501580623,4,0.15384615384615385,0.4305370481641943,0.30398498409838826,7.319789422140016
S2,ac,0.75,0.8146378501580623,4,0.15384615384615385,0.4305370481641943,0.30398498409838826,7.319789422140016
S2,ac,0.8,0.8146378501580623,4,0.15384615384615385,0.4305370481641943,0.30398498409838826,7.319789422140016
S2,ac,0.9,0.9069461422635408,8,0.3076923076923077,0.30504730409636416,0.21538169660517814,10.312656176011544
S2,ac,0.95,0.9591487493054504,14,0.5384615384615384,0.20211692332546002,0.14270667294507372,13.887946426462124
S2,ac,0.99,0.9909706300105069,22,0.8461538461538461,0.09502299716117815,0.06709193646444526,20.443425508638757
S2,ac,0.995,0.9970326409495549,24,0.9230769230769231,0.05447347107028404,0.038461538461538256,25.276299008713433
S2,ac,0.999,1.0,25,0.9615384615384616,2.9544659655337685e-15,2.086030211294378e-15,290.5904201716725
S3,total,0.5,0.9411764705882354,1,0.038461538461538464,0.24253562503633297,0.8514693182963199,12.30448921378274
