r,mean,std,eta_dc_measured,eta_dc_predicted,abs_error,rel_error,eta_total_7coef,eta_ac_7coef,eps_l2_full_7coef,eps_l2_ac_7coef
0.0,8.540177112501205e-18,0.8514693182963199,0.0,0.0,0.0,,0.6896551724137939,0.6896551724137939,0.5570860145311555,0.5570860145311555
0.5,0.42573465914815994,0.85146931829632,0.19999999999999982,0.2,1.942890293094024e-16,9.71445146547012e-16,0.7517241379310348,0.6896551724137937,0.4982728791224398,0.5570860145311555
1.0,0.8514693182963197,0.8514693182963199,0.5,0.5,0.0,0.0,0.8448275862068968,0.6896551724137936,0.39391929857916763,0.5570860145311554
2.0,1.7029386365926398,0.8514693182963199,0.7999999999999999,0.8,1.1102230246251565e-16,1.3877787807814457e-16,0.9379310344827587,0.6896551724137934,0.2491364395612199,0.5570860145311555
4.0,3.4058772731852796,0.85146931829632,0.9411764705882354,0.9411764705882353,1.1102230246251565e-16,1.1796119636642288e-16,0.9817444219066939,0.689655172413793,0.13511320473331348,0.5570860145311554
8.0,6.81175454637056,0.85146931829632,0.9846153846153847,0.9846153846153847,0.0,0.0,0.9952254641909815,0.6896551724137923,0.0690980159557318,0.5570860145311554
16.0,13.62350909274112,0.8514693182963199,0.9961089494163423,0.9961089494163424,1.1102230246251565e-16,1.1145598333150986e-16,0.9987924325774855,0.6896551724137904,0.03475007082747345,0.5570860145311556
