n_coeff,coeff_ratio,eta_total,eta_ac,eps_l2,rmse,snr_db,max_imag,strategy,basis,id
3,0.11538461538461539,0.9647406828096452,0.4827459563530396,0.18777464469505709,47.92712073756568,14.52726102227631,0.0,magnitude,total,S0
5,0.19230769230769232,0.9793149994293163,0.696551123487081,0.14382280963283864,36.708966608793865,16.84344462786608,0.0,magnitude,total,S0
7,0.2692307692307692,0.9867880813997855,0.8061812064198213,0.11494311027727785,29.33778590371865,18.790341106986517,0.0,magnitude,total,S0
9,0.34615384615384615,0.9906374708963838,0.8626517351013087,0.09676016279242264,24.69681682673436,20.286068192769633,0.0,magnitude,total,S0
11,0.4230769230769231,0.9926635119524523,0.8923737493759621,0.08565330143985993,21.861929901909367,21.345117856659233,0.0,magnitude,total,S0
13,0.5,0.9939614317922728,0.9114142282897267,0.07770822483963455,19.834048842107084,22.190660238286437,0.0,magnitude,total,S0
14,0.5384615384615384,0.9950805358550537,0.9278314804619714,0.07013889181435787,17.9020716127297,23.080822003966674,0.0,magnitude,total,S0
16,0.6153846153846154,0.9961901572747661,0.9441096222979242,0.061723923443296476,15.754256577437706,24.190929521387787,0.0,magnitude,total,S0
18,0.6923076923076923,0.9972813766333709,0.9601178059702565,0.052140419701312224,13.30818755849799,25.656509546502882,0.0,magnitude,total,S0
20,0.7692307692307693,0.998316509300434,0.9753031980996281,0.04103036314201936,10.472485097267723,27.737892785264606,0.0,magnitude,total,S0
22,0.8461538461538461,0.9990690043256882,0.9863422971421747,0.030512221720352513,7.787861544020291,30.310523368777492,0.0,magnitude,total,S0
24,0.9230769230769231,0.9995670282525934,0.9936483061789911,0.020807973169115056,5.310973928347721,33.635404416275186,0.0,magnitude,total,S0
26,1.0,1.0,0.9999999999999999,2.5070347851774846e-15,6.398891556291214e-13,292.01679280303887,0.0,magnitude,total,S0
2,0.07692307692307693,0.03290702703337491,0.4827459563530396,0.7192037566969182,47.92712073756569,2.8629610554053206,0.0,magnitude,ac,S0
4,0.15384615384615385,0.04748134365304606,0.696551123487081,0.55086193961184,36.708966608793865,5.179144660995092,0.0,magnitude,ac,S0
6,0.23076923076923078,0.05495442562351527,0.8061812064198213,0.4402485588621245,29.33778590371864,7.126041140115532,0.0,magnitude,ac,S0
