N,precision,eps_parseval
16,float32,6.061697952068512e-08
16,float64,1.770811738118062e-16
26,float32,1.7644085562080304e-08
26,float64,1.3746052878372277e-16
64,float32,4.1784430769345134e-08
64,float64,0.0
256,float32,5.458066324280392e-08
256,float64,0.0
1024,float32,6.070312018423805e-08
1024,float64,0.0
4096,float32,5.1182174417824304e-08
4096,float64,0.0
