n,x
0,251
1,214
2,195
3,175
4,174
5,173
6,198
7,295
8,403
9,388
10,318
11,288
12,232
13,203
14,215
15,303
16,212
17,228
18,135
19,165
20,227
21,286
22,316
23,296
24,216
25,300
